year,to_country,song
1996,Portugal,O Meu Coração Não Tem Cor
1996,Netherlands,De Eerste Keer
1996,United Kingdom,Ooh...Aah...Just A Little Bit
1996,Cyprus,Mono Gia Mas
1996,Malta,In A Woman's Heart
1996,Austria,Weil's Dr Guat Got
1996,Turkey,Besinçi Mevsim
1996,Iceland,Sjúbídú
1996,Greece,Emis Forame To Himona Anixiatika
1996,Poland,Chce Znac Swój Grzech
1996,Switzerland,Mon Coeur L'aime
1996,Belgium,Liefde Is Een Kaartspel
1996,Slovakia,Kým Nás Máš
1996,France,Diwanit Bugale
1996,Spain,¡Ay Qué Deseo!
1996,Slovenia,Dan najlepših sanj
1996,Bosnia & Herzegovina,Za Našu Ljubav
1996,Finland,Niin Kaunis On Taivas
1997,United Kingdom,Love Shine A Light
1997,Ireland,Mysterious Woman
1997,Turkey,Dinle
1997,Italy,Fiumi Di Parole
1997,Cyprus,Mana Mou
1997,Spain,Sin Rencor
1997,France,Sentiments Songes
1997,Estonia,Keelatud Maa
1997,Malta,Let Me Fly
1997,Slovenia,Zbudi Se
1997,Poland,Ale Jestem
1997,Greece,Horepse
1997,Hungary,Miert Kell Hogy Elmenj?
1997,Sweden,Bara Hon älskar Mig
1997,Russia,Primadonna
1997,Denmark,Stemmen I Mit Liv
1997,Croatia,Probudi Me
1997,Germany,Zeit
1997,Bosnia & Herzegovina,Goodbye
1997,Iceland,Minn Hinsti Dans
1997,Austria,One Step
1997,Switzerland,Dentro Di Me
1997,Netherlands,Niemand Heeft Nog Tijd
